url,mainBranch,latestCommitSha,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount,searchResultCount
https://github.com/jberkel/sms-backup-plus,master,3565f645126d3f9e8c0371ec57c8aac4bbf5cde1,647,217,1111,4,46,29,98,346,0,0
https://github.com/BuildCraft/BuildCraft,BuildCraft-5.0.x,080b4ba74990c6488f7c645cc64d3985f47e42fd,643,391,2122,4,36,112,42,1567,2,0
https://github.com/jayway/maven-android-plugin,master,2ce1428c8e83365c5ac096b7855e71bd8a035013,645,259,1865,3,76,92,18,311,9,0
https://github.com/TooTallNate/Java-WebSocket,master,7c3b223536dc8bd4e8794ac265ad06679583e30f,754,318,451,2,12,18,62,190,10,0
https://github.com/facebook/buck,master,def0eb1077d6c2a9f129b200e8356acaec9a17ed,631,110,1400,2,0,26,48,56,6,0
https://github.com/square/spoon,master,975dacb45607ed45492fa3dd9e697f0a5263e71a,630,122,466,5,8,22,47,133,1,0
https://github.com/brianfrankcooper/YCSB,master,4791826f0b90c472dd04cc5eb6ed73c4d5906330,632,349,260,2,5,28,66,103,30,0
https://github.com/aws/aws-sdk-java,master,f04beb908018dcb0ca58ac6e00f2bd66953efe45,628,314,216,1,46,38,52,162,17,0
https://github.com/cloudera/oryx,master,8986b58e49b55d7c57f72f232596689a16a013a9,617,114,202,3,7,5,4,57,0,0
https://github.com/gephi/gephi,master,5777cab4a8f649ef85f4c571f37b0df43e4db46f,620,604,3760,6,0,31,292,613,9,0
https://github.com/MinecraftForge/MinecraftForge,master,2cef9c5cb29fdaa1d118591604ff7c5f2e956c09,619,380,1971,6,14,67,49,993,34,0
https://github.com/sk89q/worldedit,master,33d4285f1a7af21b42585fccca5a93036c953262,613,339,1889,17,94,49,0,0,13,0
https://github.com/harism/android_page_curl,master,7a2c8f152bb4f1b0de3b1aa72b3cb79e1fe8e3bd,664,321,141,2,0,4,59,14,2,0
https://github.com/geometer/FBReaderJ,master,ec96ce8dd837f495fbeafef8592001e06b601bb0,611,398,6615,35,146,21,101,88,4,0
https://github.com/commonsguy/cwac-endless,master,7a6fe3c123fc85e08c36b6db6a88740385625340,658,232,91,1,19,6,0,41,0,0
https://github.com/apache/hbase,trunk,f0a4811e4bef6e66ced0b24bfdace39d99251142,608,378,8410,34,273,11,0,0,9,0
https://github.com/jfeinstein10/JazzyViewPager,master,05fab564593adffec28c76857520ab35f908dea0,719,312,26,1,0,4,32,13,5,0
https://github.com/liferay/liferay-portal,master,917c5277997b15fd9fb2abd9694809e535132855,597,916,10000,3,24,261,0,0,17,0
https://github.com/JetBrains/kotlin,master,d28ca5bdfae653d91de63a8cd1ddfc1bea7545bd,594,169,10000,90,962,81,0,0,10,0
https://github.com/spring-projects/spring-boot,master,620d8eb87e63ab23bf667c2b1c6518d9fd2ab187,613,437,1768,2,14,56,90,585,17,0
https://github.com/sirthias/parboiled,master,036214177d6ae3126b8bee179164e202c8bc9a9d,605,57,624,2,38,7,16,57,0,0
https://github.com/chewiebug/GCViewer,master,26a080b1555d3d14bef91afa5090c75ae6a6b657,597,165,371,2,8,17,19,76,3,0
