url,mainBranch,starCount,forkCount,commitCount,branchCount,releaseCount,contributorCount,openIssueCount,closedIssueCount,openPullRequestCount
https://github.com/wonu/sample_app,master,1,0,11,1,0,1,0,0,0
https://github.com/PlenysMV24/sample_app,master,1,0,14,1,5,1,0,0,0
https://github.com/borgidiom/ScavangerHuntOnline,master,1,0,42,1,0,1,0,0,0
https://github.com/idorko/cribbage,master,1,0,21,1,0,1,0,0,0
https://github.com/my-osp/sample_app,master,1,0,8,1,0,1,0,0,0
https://github.com/kaspot/sample_app,master,0,0,6,1,0,1,0,0,0
https://github.com/jackrubysdog/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/amirci/zenboard,master,7,4,142,3,0,1,0,0,0
https://github.com/fmhernandez/sample_app,master,1,0,13,2,0,1,0,0,0
https://github.com/andriess/lordsknights_app,master,1,0,7,1,0,0,0,0,0
https://github.com/nkindler/sample_app_noah,master,1,0,7,1,0,1,0,0,0
https://github.com/shayfrendt/accept_these_tests,master,0,0,2,1,0,1,0,0,0
https://github.com/bradpsheehan/julius_caesar_cl,master,1,1,26,1,0,1,0,0,0
https://github.com/isyed867/sample_app,master,0,0,10,1,0,-1,0,0,0
https://github.com/ALEKSian/ALEKSianrep,master,1,0,17,1,0,1,0,0,0
https://github.com/saharawada/sample_app1,master,1,0,2,1,0,0,0,0,0
https://github.com/Eddiesno2/sample_app,master,1,0,22,1,0,1,0,0,0
https://github.com/gsathya/timezone,master,3,1,69,1,0,5,0,0,0
https://github.com/vidra/sample_ap,master,1,0,6,1,0,1,0,0,0
https://github.com/sindbad/sample_app-,master,1,0,8,1,0,1,0,0,0
https://github.com/ngshvanam/sample_app,master,1,0,67,1,0,1,0,0,0
https://github.com/archan937/rich_cms,master,44,16,341,2,20,-1,3,12,0
https://github.com/williamratcliff/taskmaster,master,1,0,8,1,0,1,0,0,0
https://github.com/nazarvinnitsa/sam_app,master,1,0,10,1,0,1,0,0,0
https://github.com/ecavazos/raiderstat,master,1,0,38,1,0,1,0,0,0
https://github.com/rmarchant/sample_app,master,1,0,6,1,0,1,0,0,0
https://github.com/kdanninger/sample_app,master,1,0,28,1,0,1,0,0,0
https://github.com/scattering/dataflow,master,7,1,1403,5,0,9,5,1,0
https://github.com/UnEpicFail/simple_app2,master,0,0,5,1,0,1,0,0,0
https://github.com/willsongrui/sample_app,master,0,0,11,1,0,1,0,0,0
https://github.com/ruslanmomot/ruslanmomot.github.io,master,0,0,4,1,0,1,0,0,0
https://github.com/anaixmejias/cucumber-capybara-rspec,master,0,0,10,1,0,1,0,0,0
https://github.com/jbussdieker/beans,master,0,0,62,1,0,-1,0,0,0
https://github.com/jteso/RailsIIIDemo,master,1,0,26,1,0,1,0,0,0
https://github.com/Drefetr/Project_BritBurn,master,2,0,81,1,0,2,0,0,0
https://github.com/Sacret/sample_app,master,0,0,7,1,0,1,0,0,0
https://github.com/fstakem/sample_app,master,1,0,9,4,0,0,0,0,0
https://github.com/zhenyang/sample_app,master,1,0,10,1,0,1,0,0,0
https://github.com/rerikson/TestGoogle,master,0,0,6,1,0,1,0,0,0
https://github.com/theresaluu/Roroster,testing,0,0,14,2,0,1,0,0,0
https://github.com/sluthien/red,master,1,0,3,1,0,1,0,0,0
https://github.com/patl/sample_app,master,1,0,2,1,0,1,0,0,0
https://github.com/PrateekNarang/traveli,master,1,0,23,1,0,1,0,0,0
https://github.com/alerbe/sample_app,master,1,0,11,1,0,1,0,0,0
https://github.com/3j/sample_app,master,1,0,16,1,0,-1,0,0,0
https://github.com/coty91/Sample-App,master,1,0,9,1,0,-1,0,0,0
https://github.com/LizaKis/sample_app,master,1,0,6,1,0,-1,0,0,0
https://github.com/fusionat/staticpages,master,0,0,30,1,0,1,0,0,0
https://github.com/antoniogatto/learnruby,master,1,0,12,4,0,1,0,0,0
https://github.com/mikeadeleke/sample_app,master,0,0,8,1,0,1,0,0,0
https://github.com/franio/sample_app,master,1,0,13,1,0,1,0,0,0
https://github.com/colincurrie/sample_app,master,1,0,12,1,0,1,0,0,0
https://github.com/jellybob/riverweb,master,1,0,20,1,0,1,0,0,0
https://github.com/aseliger/sample_app,master,1,0,11,1,0,1,0,0,0
https://github.com/thefulltimereader/reblog,master,1,0,38,8,0,1,0,0,0
https://github.com/Yuan-liu/sample_app,master,1,0,29,1,0,1,0,0,0
https://github.com/agm1988/simple_app,master,1,0,21,1,0,1,0,0,0
https://github.com/nadiabarache/sample_app,master,0,0,4,1,0,1,0,0,0
https://github.com/glycerine/webiperf,master,0,0,5,1,0,1,0,0,0
https://github.com/gameisch/plit,master,0,0,3,1,0,1,0,0,0
https://github.com/swissel/Sample_App,master,1,0,5,1,0,1,0,0,0
https://github.com/sslgod/nbash,master,1,0,4,1,0,1,0,0,0
https://github.com/Ramazanov/sample_app,master,1,0,8,1,0,1,0,0,0
https://github.com/LooseImpediment/s_app,master,1,0,6,1,0,0,0,0,0
https://github.com/edkim/sample_app,master,1,0,35,3,0,1,0,0,0
https://github.com/perherman/sample_app3,master,1,0,9,1,0,1,0,0,0
https://github.com/willw00/sample_app,master,0,0,6,1,0,1,0,0,0
https://github.com/cbames/CommonCents-Ruby,master,1,0,38,1,0,3,0,0,0
https://github.com/jsplawn/newsample,master,1,0,46,1,0,1,0,0,0
https://github.com/rthbound/sample_app,master,0,0,13,1,0,0,0,0,0
https://github.com/lohvin/sample_app,master,1,0,12,1,0,1,0,0,0
https://github.com/fism88/1SemesterStartup,master,2,0,51,1,0,3,0,0,0
https://github.com/Aaji/sample_apps2,master,0,0,9,1,0,1,0,0,0
https://github.com/michaelakbaraly/gbiffrance-harvest,master,3,7,3,1,0,1,1,0,1
https://github.com/bcasey91/sample_app,master,1,0,17,1,0,1,0,0,0
https://github.com/rebelius/Goliath,master,1,0,3,1,0,0,0,0,0
https://github.com/namitav/ProrailsApp,master,1,0,4,1,0,1,0,0,0
https://github.com/r1zib/salesforce,master,1,0,12,1,0,1,0,0,0
https://github.com/amySukumunu/projectSesame,master,1,0,4,1,0,0,0,0,0
https://github.com/rajivbhat/sample_app,master,1,0,9,1,0,1,0,0,0
https://github.com/stcrash/eliseevs,master,1,0,9,1,0,1,0,0,0
https://github.com/deniotokiari/sample_app,master,1,0,3,1,0,0,0,0,0
https://github.com/GrinnellTextbookLendingLibrary/GTLLDatabase,master,0,1,164,4,0,-1,0,0,0
https://github.com/ayasakr/sample_app,master,0,0,9,1,0,-1,0,0,0
https://github.com/tymenschreuder/eda_utils,master,1,0,1,2,0,-1,0,0,0
https://github.com/KrasikovAndrey/sample_app,master,0,0,11,1,0,-1,0,0,0
https://github.com/erikanthonysam/sportsPanda,master,1,0,97,1,0,1,0,0,0
https://github.com/ywpark90/sample_app,master,1,0,5,1,0,1,0,0,0
https://github.com/mrelova/sample_app,master,1,0,12,1,0,1,0,0,0
https://github.com/cosmicnag/sample_app,master,1,0,13,1,0,-1,0,0,0
https://github.com/ntimba20/nsample,master,1,0,12,1,0,-1,0,0,0
https://github.com/ktheyns/sample_app,master,1,0,25,1,0,-1,0,0,0
https://github.com/makandrewmak/sample_app,master,1,0,12,1,0,1,0,0,0
https://github.com/kenike88/sample_app,master,1,0,16,1,0,1,0,0,0
https://github.com/georgevolkov/sample_app,master,0,0,28,1,0,1,0,0,0
